Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_Million,EU_Sales_Million,JP_Sales_Million,Other_Sales_Million,Global_Sales_Million
3158,Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0,0.02,0.1
3159,[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0,0.01,0.1
3160,NASCAR The Game: Inside Line,X360,2012,Racing,Activision,0.09,0,0,0.01,0.1
3161,Blades of Time,PS3,2012,Action,Konami Digital Entertainment,0.04,0.03,0.01,0.01,0.1
3162,Lord of Apocalypse,PSV,2011,Role-Playing,Square Enix,0,0,0.1,0,0.1
3163,Bejeweled Twist,DS,2010,Puzzle,PopCap Games,0,0.09,0,0.01,0.1
3164,Rock Band 3,DS,2010,Misc,MTV Games,0.09,0.01,0,0.01,0.1
3165,NBA Live 16,XOne,2015,Sports,Electronic Arts,0.08,0.01,0,0.01,0.1
3166,Machi-Ing Maker 3 x Tousouchuu,PSP,2010,Simulation,D3Publisher,0,0,0.1,0,0.1
3167,nail'd,X360,2010,Racing,Deep Silver,0.08,0.02,0,0.01,0.1
3168,Record of Agarest War Zero,X360,2010,Strategy,Compile Heart,0.09,0,0,0.01,0.1
3169,Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.1
3170,Harry Potter and the Deathly Hallows - Part 1,PC,2010,Action,Electronic Arts,0.08,0.02,0,0.01,0.1
3171,Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,Capcom,0,0.04,0.04,0.01,0.1
3172,Harry Potter and the Deathly Hallows - Part 2,PC,2011,Action,Electronic Arts,0.05,0.04,0,0.01,0.1
3173,Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games,0.06,0.03,0,0.02,0.1
3174,Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.01,0.02,0.06,0.01,0.1
3175,Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011,Action,THQ,0.07,0.02,0,0.01,0.1
3176,NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0,0,0.01,0.1
3177,Sword Art Online: Lost Song,PS3,2015,Role-Playing,Namco Bandai Games,0,0,0.1,0,0.1
3178,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0,0,0.1,0,0.1
3179,Pro Evolution Soccer 2013,Wii,2012,Sports,Konami Digital Entertainment,0,0.03,0.06,0,0.1
3180,Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,505 Games,0.08,0.01,0,0.01,0.1
3181,NatGeo Challenge! Wild Life,PS3,2010,Misc,Black Bean Games,0.05,0.03,0,0.01,0.1
3182,Kung Fu Panda 2,PS3,2011,Action,THQ,0.04,0.04,0,0.02,0.1
3183,Tales of Innocence R,PSV,2012,Role-Playing,Namco Bandai Games,0,0,0.1,0,0.1
3184,Generator Rex: Agent of Providence,3DS,2011,Action,Activision,0.07,0.02,0,0.01,0.1
3185,NeverDead,X360,2012,Shooter,Konami Digital Entertainment,0.06,0.03,0,0.01,0.1
3186,Happy Feet Two,X360,,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1
3187,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010,Strategy,THQ,0.08,0.01,0,0.01,0.1
3188,F1 2014,PC,2014,Racing,Codemasters,0,0.09,0,0.01,0.1
3189,Fate/hollow ataraxia,PSV,2014,Adventure,Type-Moon,0,0,0.1,0,0.1
3190,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1
3191,Murder in Venice,DS,2011,Adventure,City Interactive,0.06,0.03,0,0.01,0.1
3192,Nancy Drew: The Model Mysteries,DS,2010,Puzzle,THQ,0.09,0,0,0.01,0.1
3193,Ride,XOne,2015,Racing,Milestone S.r.l.,0.04,0.05,0,0.01,0.1
3194,Little League World Series Baseball 2010,X360,2010,Sports,Activision,0.09,0,0,0.01,0.1
3195,Arcania: Gothic 4,X360,2010,Role-Playing,JoWood Productions,0.03,0.04,0.01,0.01,0.1
3196,Ben 10 Galactic Racing,X360,2011,Racing,D3Publisher,0.07,0.02,0,0.01,0.1
3197,Rio,X360,2011,Misc,THQ,0.05,0.03,0,0.01,0.1
3198,Lord of Apocalypse,PSP,2011,Role-Playing,Square Enix,0,0,0.1,0,0.1
3199,iCarly 2: iJoin The Click!,Wii,2010,Adventure,Activision,0.08,0.01,0,0.01,0.1
3200,Winter Stars,X360,2011,Sports,Deep Silver,0.05,0.04,0,0.01,0.1
3201,Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01,0.1
3202,Cubic Ninja,3DS,2011,Platform,Ubisoft,0.05,0.04,0,0.01,0.1
3203,Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0,0.09,0,0.01,0.1
3204,Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,Crave Entertainment,0.09,0,0,0.01,0.1
3205,Persona 5,PS3,2016,Role-Playing,Unknown,0,0,0.1,0,0.1
3206,Thor: God of Thunder,3DS,2011,Action,Sega,0.06,0.03,0,0.01,0.1
3207,Zoo Tycoon (2013),X360,2013,Simulation,Microsoft Game Studios,0.02,0.07,0,0.01,0.1
3208,Rapala Pro Bass Fishing 2010,DS,2010,Sports,Activision,0.09,0,0,0.01,0.1
3209,Resident Evil: Revelations 2,XOne,2015,Action,Capcom,0.07,0.02,0,0.01,0.1
3210,Major League Baseball 2K11,DS,2011,Sports,Take-Two Interactive,0.09,0,0,0.01,0.1
3211,Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.02,0.06,0,0.01,0.1
3212,Luminous Arc 2 (JP sales),DS,,Role-Playing,Unknown,0,0,0.1,0,0.1
3213,MySims SkyHeroes,X360,2010,Action,Electronic Arts,0.09,0,0,0.01,0.1
3214,NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0,0,0.01,0.1
3215,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
3216,Dead or Alive 5,PSV,2013,Fighting,Tecmo Koei,0,0.05,0.03,0.02,0.1
3217,BIT.TRIP COMPLETE,Wii,2011,Misc,Rising Star Games,0.06,0.02,0,0.01,0.1
3218,Skylanders: Spyro's Adventure,PC,2011,Action,Activision,0.05,0.03,0,0.01,0.1
3219,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012,Adventure,Gust,0,0,0.1,0,0.1
3220,Man vs. Wild,X360,2011,Action,Crave Entertainment,0.09,0,0,0.01,0.1
3221,Sol Trigger,PSP,2012,Role-Playing,Image Epoch,0,0,0.1,0,0.1
3222,The Daring Game for Girls,Wii,,Adventure,Unknown,0.09,0,0,0.01,0.1
3223,thinkSMART,DS,2010,Misc,Conspiracy Entertainment,0.09,0,0,0.01,0.1
3224,Digimon Story: Super Xros Wars Blue/Red,DS,2011,Role-Playing,Namco Bandai Games,0,0,0.1,0,0.1
3225,Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1
3226,Who Wants to Be A Millionaire?,X360,2011,Misc,Ubisoft,0.09,0,0,0.01,0.1
3227,Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1
3228,Imagine: Reporter,DS,2010,Simulation,Ubisoft,0.08,0.01,0,0.01,0.1
3229,Disney Planes Fire & Rescue,3DS,2014,Action,Disney Interactive Studios,0.01,0.08,0,0.01,0.1
3230,Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
3231,Mystery Stories: Curse of the Ancient Spirits,DS,2011,Adventure,GSP,0.05,0.04,0,0.01,0.1
3232,Kuroko's Basketball: Miracle Game,3DS,2014,Sports,Namco Bandai Games,0,0,0.1,0,0.1
3233,MindJack,X360,2011,Shooter,Square Enix,0.07,0.02,0,0.01,0.1
3234,ReCore,XOne,2016,Action,Microsoft Game Studios,0.06,0.03,0,0.01,0.1
3235,The X-Factor,X360,2010,Misc,Deep Silver,0,0.08,0,0.01,0.09
3236,Gundam Breaker,PSV,2013,Action,Namco Bandai Games,0,0,0.09,0,0.09
3237,Jaws: Ultimate Predator,Wii,2011,Action,Majesco Entertainment,0.09,0,0,0.01,0.09
3238,Kiniro no Corda 3,PSP,2010,Adventure,Tecmo Koei,0,0,0.09,0,0.09
3239,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
3240,Egg Monster Hero,DS,,Role-Playing,Square Enix,0,0,0.09,0,0.09
3241,Rock Band Country Track Pack 2,Wii,2011,Misc,MTV Games,0.09,0,0,0.01,0.09
3242,Ghostbusters: The Video Game (DS Version),PC,2010,Action,Take-Two Interactive,0,0.08,0,0.02,0.09
3243,Angry Birds: Rio,PC,2011,Puzzle,Focus Home Interactive,0,0.07,0,0.02,0.09
3244,Dance on Broadway,PS3,2011,Misc,Ubisoft,0.05,0.03,0,0.01,0.09
3245,Risen 3: Titan Lords,PC,2014,Role-Playing,Deep Silver,0,0.08,0,0.01,0.09
3246,Dungeons,PC,2011,Strategy,Kalypso Media,0.07,0.02,0,0.01,0.09
3247,SingStar Apres-Ski Party 2,PS3,2010,Misc,Sony Computer Entertainment,0,0.07,0,0.02,0.09
3248,Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
3249,Monopoly Collection,Wii,2011,Misc,Electronic Arts,0.02,0.07,0,0.01,0.09
3250,The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
3251,PhotoKano,PSP,2012,Adventure,Kadokawa Shoten,0,0,0.09,0,0.09
3252,Ouchi Mainichi Tamagotchi,3DS,2012,Action,Namco Bandai Games,0,0,0.09,0,0.09
3253,PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,Namco Bandai Games,0.05,0.04,0,0.01,0.09
3254,The Voice,WiiU,2014,Action,Activision,0.08,0,0,0.01,0.09
3255,Cabela's North American Adventures,PSP,2010,Sports,Activision,0.08,0,0,0.01,0.09
3256,Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,505 Games,0.09,0,0,0.01,0.09
3257,Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.02,0.06,0,0.01,0.09
3258,Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0,0,0.09,0,0.09
3259,The Amazing Spider-Man (Console Version),WiiU,2013,Action,Activision,0.05,0.03,0,0.01,0.09
3260,The Crew: Wild Run,PS4,2015,Action,Ubisoft,0,0.08,0,0.01,0.09
3261,Uta no Prince-Sama: Debut,PSP,2012,Adventure,Broccoli,0,0,0.09,0,0.09
3262,Galactic Taz Ball,DS,2010,Platform,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.09
3263,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,Atlus,0.07,0.02,0,0.01,0.09
3264,"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010,Platform,Nippon Ichi Software,0.05,0,0.03,0.01,0.09
3265,Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.08,0,0.09
3266,Generator Rex: Agent of Providence,Wii,2011,Action,Activision,0.07,0.01,0,0.01,0.09
3267,Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.05,0,0.02,0.09
3268,Girls und Panzer: I Will Master Tankery,PSV,2014,Action,Namco Bandai Games,0,0,0.09,0,0.09
3269,Hakuouki: Zuisouroku Portable,PSP,2010,Adventure,Idea Factory,0,0,0.09,0,0.09
3270,Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,Namco Bandai Games,0,0,0.09,0,0.09
3271,Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,0.09,0,0,0.01,0.09
3272,U-Sing  2,Wii,2010,Misc,Mindscape,0,0.08,0,0.01,0.09
3273,Backyard Sports: Sandlot Sluggers,X360,2010,Sports,Atari,0.09,0,0,0.01,0.09
3274,Truth or Lies,PS3,2010,Misc,THQ,0.06,0.02,0,0.01,0.09
3275,WSC Real 11: World Snooker Championship,PS3,2011,Sports,Koch Media,0,0.07,0,0.02,0.09
3276,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09
3277,NBA 2K16,PC,2015,Sports,Take-Two Interactive,0.02,0.06,0,0.01,0.09
3278,The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.09,0,0.09
3279,Get Fit with Mel B,Wii,2010,Sports,Black Bean Games,0.03,0.05,0,0.01,0.09
3280,Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0,0,0.09,0,0.09
3281,Transformers: Devastation,X360,2015,Action,Activision,0.06,0.02,0,0.01,0.09
3282,Dora's Big Birthday Adventure,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0,0.01,0.09
3283,Pillow Pets,DS,2011,Adventure,GameMill Entertainment,0.09,0,0,0.01,0.09
3284,Young Justice: Legacy,PS3,2013,Action,Namco Bandai Games,0.06,0.02,0,0.01,0.09
3285,Samurai Shodown Anthology,PSP,,Fighting,Ignition Entertainment,0.08,0,0,0.01,0.09
3286,Driver: Renegade,3DS,2011,Racing,Ubisoft,0.05,0.04,0,0.01,0.09
3287,Pro Evolution Soccer 2012,PC,2011,Action,Konami Digital Entertainment,0,0.07,0,0.02,0.09
3288,I Love Puppies,DS,2010,Simulation,Destineer,0.09,0,0,0.01,0.09
3289,Pokemon Rumble World,3DS,2015,Action,Nintendo,0,0.01,0.08,0,0.09
3290,JASF: Jane's Advanced Strike Fighters,X360,2011,Simulation,Deep Silver,0.06,0.02,0,0.01,0.09
3291,Demon Chaos,PS2,,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
3292,Challenge Me: Brain Puzzles 2,DS,2010,Puzzle,O-Games,0.05,0.04,0,0.01,0.09
3293,Cake Mania: Main Street,DS,2011,Simulation,Majesco Entertainment,0.09,0,0,0.01,0.09
3294,DaGeDar,DS,2011,Action,GameMill Entertainment,0.09,0,0,0.01,0.09
3295,Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010,Misc,Konami Digital Entertainment,0,0,0.09,0,0.09
3296,Supremacy MMA,PSV,2012,Fighting,505 Games,0.02,0.05,0,0.02,0.09
3297,Disney Art Academy,3DS,2016,Action,Nintendo,0.01,0.01,0.07,0,0.09
3298,NERF N-Strike: Double Blast Bundle,Wii,2010,Shooter,Electronic Arts,0.09,0,0,0,0.09
3299,Ben 10 Galactic Racing,PS3,2011,Racing,D3Publisher,0.06,0.02,0,0.01,0.09
3300,Junior Mystery Quest,DS,2011,Puzzle,GSP,0.07,0.01,0,0.01,0.09
3301,Great Party Games,Wii,2010,Misc,O-Games,0,0.08,0,0.01,0.09
3302,Jimmie Johnson's Anything With an Engine,X360,2011,Racing,Konami Digital Entertainment,0.08,0,0,0.01,0.09
3303,Are You Smarter Than a 5th Grader? Back to School,DS,2010,Misc,THQ,0.08,0,0,0.01,0.09
3304,Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09
3305,Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,FuRyu,0,0,0.09,0,0.09
3306,Last Rebellion,PS3,2010,Role-Playing,Nippon Ichi Software,0.06,0.01,0.01,0.01,0.09
3307,How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,0.04,0.05,0,0.01,0.09
3308,Quantum Theory,X360,2010,Shooter,Tecmo Koei,0.06,0.02,0,0.01,0.09
3309,Bass Pro Shops: The Hunt,X360,2010,Sports,Griffin International,0.08,0,0,0.01,0.09
3310,Carnival Games: Wild West 3D,3DS,2011,Misc,Take-Two Interactive,0.06,0.02,0,0.01,0.09
3311,Inazuma Eleven 3,3DS,2013,Role-Playing,Nintendo,0,0.08,0,0.01,0.09
3312,Winter Stars,PS3,2011,Sports,Deep Silver,0.01,0.06,0,0.02,0.09
3313,Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012,Role-Playing,Acquire,0,0,0.09,0,0.09
3314,Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09
3315,Uta no Prince-Sama: Music 2,PSP,2013,Adventure,Broccoli,0,0,0.09,0,0.09
3316,Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.05,0.01,0.09
3317,Action Man-Operation Extreme,PS,,Action,NA,0.05,0.03,0,0.01,0.09
3318,Blazblue: Continuum Shift Extend,PS3,2011,Fighting,PQube,0,0,0.09,0,0.09
3319,Remington Super Slam Hunting: Alaska,Wii,2011,Sports,Mastiff,0.08,0,0,0.01,0.09
3320,MotoGP 14,X360,2014,Racing,Milestone S.r.l.,0.04,0.04,0,0.01,0.09
3321,The $1 Pyramid,Wii,2011,Misc,Ubisoft,0.08,0,0,0.01,0.09
3322,Pro Yaky? Spirits 2014,PSP,2014,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09
3323,Spider-Man: Edge of Time,Wii,2011,Action,Activision,0.06,0.02,0,0.01,0.09
3324,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09
3325,Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,Gust,0,0,0.09,0,0.09
3326,No More Heroes: Red Zone,PS3,2011,Action,Marvelous Interactive,0,0,0.09,0,0.09
3327,Game Hits!,DS,2010,Misc,Foreign Media Games,0.07,0.01,0,0.01,0.09
3328,Bakugan: Rise of the Resistance,DS,2011,Strategy,Activision,0.06,0.02,0,0.01,0.09
3329,Thomas & Friends: Hero of the Rails,DS,2010,Misc,Unknown,0,0.07,0,0.01,0.09
3330,Super Puzzle Fighter II,GBA,,Puzzle,Capcom,0.06,0.02,0,0,0.09
3331,Deadliest Catch: Sea of Chaos,X360,2010,Sports,Crave Entertainment,0.08,0,0,0.01,0.09
3332,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010,Action,Namco Bandai Games,0,0,0.09,0,0.09
3333,Data East Arcade Classics,Wii,2010,Misc,Majesco Entertainment,0.08,0,0,0.01,0.09
3334,Romance of the Three Kingdoms XII,PS3,2012,Strategy,Tecmo Koei,0,0,0.09,0,0.09
3335,Back to the Future: The Game,PS3,2011,Adventure,Telltale Games,0.07,0.01,0,0.01,0.09
3336,Hyperdimension Neptunia Re;Birth 2,PSV,2014,Action,Idea Factory International,0.05,0.02,0,0.02,0.09
3337,Little League World Series Baseball: Double Play,Wii,2010,Sports,Activision,0.08,0,0,0.01,0.09
3338,Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Action,Konami Digital Entertainment,0,0,0.09,0,0.09
3339,Mahjong Cub3D,3DS,2011,Puzzle,Sunsoft,0.07,0,0.02,0,0.09
3340,F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.01,0.07,0,0.01,0.09
3341,Major League Baseball 2K12,PSP,2012,Sports,Take-Two Interactive,0.08,0,0,0.01,0.09
3342,Happy Feet Two,Wii,,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09
3343,Sengoku Basara 4: Sumeragi,PS3,2015,Action,Capcom,0,0,0.09,0,0.09
3344,The Smurfs 2,WiiU,2013,Platform,Ubisoft,0.04,0.04,0,0.01,0.09
3345,Digimon World Re:Digitize Decode,3DS,2013,Role-Playing,Namco Bandai Games,0,0,0.09,0,0.09
3346,The Bachelor: The Videogame,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.08,0,0,0.01,0.09
3347,Resident Evil: Revelations 2,X360,2015,Action,Capcom,0.04,0.04,0,0.01,0.09
3348,Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0,0.01,0.09
3349,SpongeBob: HeroPants,X360,2015,Platform,Activision,0.08,0,0,0.01,0.09
3350,Chou Jigen Game Neptune Mk-II,PS3,2011,Role-Playing,Compile Heart,0,0,0.09,0,0.09
3351,Escape Dead Island,X360,2014,Action,Deep Silver,0.03,0.05,0,0.01,0.09
3352,Red Faction: Armageddon,PC,2011,Shooter,THQ,0.05,0.02,0,0.01,0.09
3353,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.04,0,0.01,0.09
3354,Puss in Boots,PS3,2011,Action,THQ,0.07,0.01,0,0.01,0.09
3355,PAC-MAN and the Ghostly Adventures,PS3,2013,Platform,Namco Bandai Games,0.03,0.04,0,0.01,0.09
3356,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011,Action,THQ,0.05,0.03,0,0.01,0.09
3357,Knights in the Nightmare,PSP,2010,Role-Playing,Atlus,0.06,0,0.02,0.01,0.09
3358,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.08,0,0.01,0.09
3359,Busy Scissors,Wii,2010,Simulation,Little Orbit,0.08,0,0,0,0.09
3360,Knights Contract,PS3,2011,Action,Namco Bandai Games,0.04,0.03,0,0.01,0.09
3361,Gray Matter,PC,2011,Adventure,DTP Entertainment,0.02,0.05,0,0.01,0.09
3362,Might & Magic Heroes VII,PC,2015,Strategy,Ubisoft,0,0.08,0,0,0.09
3363,Pro Evolution Soccer 2013,PC,2012,Sports,Konami Digital Entertainment,0,0.07,0,0.01,0.09
3364,Dynasty Warriors 8: Empires,PS3,2014,Action,Tecmo Koei,0,0,0.09,0,0.09
3365,Princess Isabella: A Witch's Curse,DS,2010,Adventure,GSP,0.05,0.03,0,0.01,0.09
3366,FIFA 12,PS2,2011,Sports,Electronic Arts,0,0.02,0,0.06,0.09
3367,Edna & Harvey: Harvey's New Eyes,PC,2011,Adventure,Rondomedia,0,0.07,0,0.01,0.09
3368,Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,0.09
3369,Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0,0.09
3370,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,0.04,0.03,0,0.01,0.09
3371,Rugby 15,XOne,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09
3372,Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0,0.09
3373,Lost Heroes,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.09,0,0.09
3374,Kuroko's Basketball: Ties to Future,3DS,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08
3375,Beat Sketch!,PS3,2010,Misc,Sony Computer Entertainment,0,0,0.08,0,0.08
3376,Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,0.03,0.02,0.03,0.01,0.08
3377,Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01,0.08
3378,Disgaea Infinite,PSP,2010,Adventure,Nippon Ichi Software,0.07,0,0.01,0.01,0.08
3379,Escape Dead Island,PS3,2014,Action,Deep Silver,0.03,0.04,0,0.01,0.08
3380,Martian Panic,Wii,2010,Adventure,Unknown,0.08,0,0,0,0.08
3381,"Sesame Street: Ready, Set, Grover!",DS,2011,Misc,Warner Bros. Interactive Entertainment,0.08,0,0,0.01,0.08
3382,MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,0.03,0.05,0,0.01,0.08
3383,Captain Tsubasa: New Kick Off,DS,2010,Sports,Konami Digital Entertainment,0,0.02,0.06,0,0.08
3384,ZhuZhu Babies,DS,2011,Simulation,Activision,0.07,0.01,0,0.01,0.08
3385,Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.04,0.01,0.08
3386,Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,0.02,0.06,0,0.01,0.08
3387,Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08
3388,PAC-MAN and the Ghostly Adventures,X360,2013,Platform,Namco Bandai Games,0.04,0.03,0,0.01,0.08
3389,Dead or Alive 5,XOne,2015,Fighting,Tecmo Koei,0.04,0.03,0.01,0.01,0.08
3390,Wildlife Park 3,PC,2011,Simulation,bitComposer Games,0,0.07,0,0.02,0.08
3391,101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08
3392,Sniper: Ghost Warrior 2,PC,2013,Shooter,City Interactive,0.02,0.05,0,0.01,0.08
3393,Warriors Orochi 3 Hyper,WiiU,2012,Action,Tecmo Koei,0.04,0.02,0.02,0.01,0.08
3394,Monster Jam: Path of Destruction,PSP,2010,Racing,Activision,0.07,0,0,0.01,0.08
3395,Captain America: Super Soldier,3DS,2011,Action,Sega,0.05,0.02,0,0.01,0.08
3396,Major League Baseball 2K12,DS,2012,Sports,Take-Two Interactive,0.08,0,0,0.01,0.08
3397,Sports Collection,DS,2010,Sports,Ubisoft,0.06,0.01,0,0.01,0.08
3398,Charm Girls Club: My Fashion Show,DS,,Simulation,Unknown,0.08,0,0,0.01,0.08
3399,The Seven Deadly Sins: Unjust Sin,3DS,2015,Adventure,Namco Bandai Games,0,0,0.08,0,0.08
3400,Get Fit with Mel B,X360,,Sports,Black Bean Games,0,0.07,0,0.01,0.08
3401,SaGa 3: Jikuu no Hasha - Shadow or Light,DS,2011,Role-Playing,Square Enix,0,0,0.08,0,0.08
3402,Phantom Brave: The Hermuda Triangle,PSP,2010,Role-Playing,Nippon Ichi Software,0.05,0,0.03,0.01,0.08
3403,Nano Assault,3DS,2011,Shooter,Majesco Entertainment,0.08,0,0,0.01,0.08
3404,X Rebirth,PC,2013,Simulation,Koch Media,0,0.08,0,0.01,0.08
3405,Naruto Shippuden: Shinobi Rumble,DS,2010,Fighting,Takara Tomy,0.03,0,0.05,0,0.08
3406,America's Next Top Model,Wii,2010,Action,Crave Entertainment,0.08,0,0,0.01,0.08
3407,Nikoli's Pencil Puzzle,3DS,2011,Puzzle,Hudson Soft,0.05,0.03,0,0.01,0.08
3408,Gundam the 3D Battle,3DS,2011,Action,Namco Bandai Games,0,0,0.08,0,0.08
3409,Ride,PS3,2015,Racing,Milestone S.r.l.,0,0.06,0.01,0.01,0.08
3410,Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment,0.08,0,0,0.01,0.08
3411,Supremacy MMA,X360,2011,Fighting,505 Games,0.05,0.03,0,0.01,0.08
3412,Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,0,0.07,0,0.01,0.08
3413,Steins;Gate,PS3,2012,Adventure,PQube,0.01,0.04,0.02,0.01,0.08
3414,Face Racers: Photo Finish,3DS,,Racing,Majesco Entertainment,0.08,0,0,0,0.08
3415,Bejeweled 3,PC,2010,Puzzle,PopCap Games,0.02,0.05,0,0.01,0.08
3416,God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08
3417,Pretty Rhythm: My Deco Rainbow Wedding,3DS,2013,Misc,Takara Tomy,0,0,0.08,0,0.08
3418,Kamen Rider: Travelers Senki,3DS,2013,Action,Seventh Chord,0,0,0.08,0,0.08
3419,Kaijuu Busters Powered,DS,2011,Action,Namco Bandai Games,0,0,0.08,0,0.08
3420,Major League Baseball 2K11,PC,2011,Sports,Take-Two Interactive,0.06,0.01,0,0.01,0.08
3421,One Piece: Romance Dawn - Bouken no Yoake,3DS,2013,Fighting,Namco Bandai Games,0,0,0.08,0,0.08
